Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,Utm_easting,Utm_northing,Zone,letter
1698241887.055886,387,1698241887,55600643,GPS1_Frame,42.3420455,-71.08431466666666,23.0,328305.9507303813,4689858.252833024,19,T
1698241888.055911,388,1698241888,55581331,GPS1_Frame,42.342044666666666,-71.08431233333334,23.6,328306.1406768021,4689858.155585798,19,T
1698241889.0564942,389,1698241889,56094884,GPS1_Frame,42.34204483333333,-71.08431416666667,23.7,328305.99010456516,4689858.177795052,19,T
1698241890.0536566,390,1698241890,53361177,GPS1_Frame,42.34204516666667,-71.08431666666667,23.5,328305.7850674947,4689858.21985763,19,T
1698241891.0558994,391,1698241891,55579185,GPS1_Frame,42.342046333333336,-71.0843215,23.2,328305.39008400927,4689858.359167457,19,T
1698241892.0522258,392,1698241892,51834106,GPS1_Frame,42.342048000000005,-71.08432716666667,22.7,328304.92781343556,4689858.555681341,19,T
1698241893.0564108,393,1698241893,56147813,GPS1_Frame,42.342049333333335,-71.0843335,22.1,328304.4097170178,4689858.716527374,19,T
1698241894.0552495,394,1698241894,54913282,GPS1_Frame,42.34204966666666,-71.08433033333334,22.5,328304.671487291,4689858.7471467815,19,T
1698241895.0556705,395,1698241895,55360555,GPS1_Frame,42.34205016666667,-71.08432616666667,22.8,328305.0160889989,4689858.794253887,19,T
1698241896.050936,396,1698241896,50427198,GPS1_Frame,42.342051999999995,-71.08432683333334,22.8,328304.96616094024,4689858.999177933,19,T
1698241897.06139,397,1698241897,61062335,GPS1_Frame,42.34205416666667,-71.084331,22.4,328304.6288180882,4689859.248183978,19,T
1698241898.054401,398,1698241898,54003477,GPS1_Frame,42.342056333333325,-71.08433266666665,22.4,328304.49741964904,4689859.492141558,19,T
1698241899.055096,399,1698241899,54751634,GPS1_Frame,42.342057499999996,-71.08433166666667,22.8,328304.5829731488,4689859.61967167,19,T
1698241900.056844,400,1698241900,56500434,GPS1_Frame,42.34206033333333,-71.08433450000001,22.7,328304.35728205787,4689859.940013496,19,T
1698241901.0572705,401,1698241901,56746959,GPS1_Frame,42.34207200000001,-71.08433316666667,22.7,328304.49887655943,4689861.232815995,19,T
1698241902.0568032,402,1698241902,56441068,GPS1_Frame,42.34208433333333,-71.0843005,22.6,328307.2234542181,4689862.536373032,19,T
1698241903.0556903,403,1698241903,55381774,GPS1_Frame,42.3420945,-71.08427533333334,22.5,328309.32430040964,4689863.614484159,19,T
1698241904.056166,404,1698241904,55834531,GPS1_Frame,42.34210483333333,-71.08426433333334,22.6,328310.2585823142,4689864.739709976,19,T
1698241905.0565665,405,1698241905,56151390,GPS1_Frame,42.34211516666666,-71.084246,22.4,328311.796966891,4689865.850127631,19,T
1698241906.0553172,406,1698241906,54954767,GPS1_Frame,42.34215433333334,-71.08423766666667,22.1,328312.5900572571,4689870.182461977,19,T
1698241907.0553977,407,1698241907,55095195,GPS1_Frame,42.34217816666666,-71.084225,21.6,328313.6983799756,4689872.803395541,19,T
1698241908.0555215,408,1698241908,55184841,GPS1_Frame,42.3421875,-71.08420166666666,21.8,328315.6459282964,4689873.792675131,19,T
1698241909.0576828,409,1698241909,57334423,GPS1_Frame,42.342199,-71.08417966666666,21.8,328317.4895366926,4689875.025239506,19,T
1698241910.0574734,410,1698241910,57028055,GPS1_Frame,42.34221183333334,-71.08416266666667,21.4,328318.92488581187,4689876.415957046,19,T
1698241911.0591447,411,1698241911,58715581,GPS1_Frame,42.342229333333336,-71.08413316666666,22.4,328321.4026553567,4689878.299632826,19,T
1698241912.0565236,412,1698241912,56168556,GPS1_Frame,42.34225933333334,-71.08412933333334,21.9,328321.80009031424,4689881.623165529,19,T
1698241913.0591633,413,1698241913,58850526,GPS1_Frame,42.342294833333334,-71.08413016666667,21.1,328321.82806692563,4689885.566854542,19,T
1698241914.053769,414,1698241914,53444147,GPS1_Frame,42.34232716666667,-71.08414783333333,21.0,328320.4607383653,4689889.192899161,19,T
1698241915.0590675,415,1698241915,58710813,GPS1_Frame,42.34236316666667,-71.08418766666666,20.3,328317.27736022556,4689893.27085955,19,T
1698241916.056524,416,1698241916,56176185,GPS1_Frame,42.34239366666667,-71.084235,19.8,328313.46118532174,4689896.753232837,19,T
1698241917.05757,417,1698241917,57266473,GPS1_Frame,42.34242583333333,-71.08428333333333,19.9,328309.5671736661,4689900.4226984,19,T
1698241918.0532084,418,1698241918,52903175,GPS1_Frame,42.3424515,-71.084329,19.8,328305.8751451649,4689903.365005389,19,T
1698241919.0605836,419,1698241919,60125112,GPS1_Frame,42.34247033333333,-71.08436216666668,19.6,328303.1942335757,4689905.523281582,19,T
1698241920.0615175,420,1698241920,60988903,GPS1_Frame,42.342481,-71.08439733333333,21.0,328300.32633814024,4689906.778751194,19,T
1698241921.0577507,421,1698241921,57413578,GPS1_Frame,42.34248233333333,-71.0844115,21.8,328299.16295741,4689906.955416839,19,T
1698241922.057846,422,1698241922,57453870,GPS1_Frame,42.342476500000004,-71.08443000000001,23.4,328297.6230996371,4689906.3450296465,19,T
1698241923.0588057,423,1698241923,58494806,GPS1_Frame,42.34247116666667,-71.084444,24.6,328296.4553001619,4689905.781076238,19,T
1698241924.0583265,424,1698241924,57923078,GPS1_Frame,42.342465666666676,-71.0844565,25.7,328295.41061260947,4689905.195586676,19,T
1698241925.0574827,425,1698241925,56996345,GPS1_Frame,42.34245816666667,-71.08446633333332,26.9,328294.5801529535,4689904.382626987,19,T
1698241926.0560224,426,1698241926,55773973,GPS1_Frame,42.34245316666667,-71.08447333333334,27.9,328293.98990096815,4689903.841551485,19,T
